#separator:tab
#html:true
What's the definition of the dot product?	<br>\[\vec x \cdot \vec y = \sum_{i=1}^n x_iy_i,\ \ \vec x, \vec y \in \mathbb{R}^n\]
"What does the ellipsis do in an einsum?<br><pre>hidden = torch.einsum(""...if,ifh-&gt;...ih"", features, self.W)
out = torch.einsum(""...ih,ifh-&gt;...if"", hidden, self.W)
</pre>"	It fills in a variable number of leading dimensions (usually batch dim, channels) and just applies the einsum to the last two, or last three, etc.
What does a JIT compiler do?	It compiles code as it's needed rather than compiling it ahead of time or interpreting it.
What is bytecode?	Bytecode is a compiled representation of source code. It isn't machine code for any particular computer, and it may be portable. It then gets interpreted or compiled to machine code by a <b>virtual machine</b>.
What does it mean to interpret code with an interpreter?	It means running code without compiling into a machine language program.<br><br>Different types exist, but e.g. for Python, this means translating Python source code into an efficient intermediate representation – bytecode – and executing that.&nbsp;
What's rematerialisation in the context of model parallelism?	Rematerialisation is recomputing intermediate values, like some forward pass operations, instead of storing them. This is useful when compute is more available than memory.
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is a daemonic process in Python?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is a daemonic process in Python?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	A process that can't spawn other processes, and which ends when the process which spawns it ends (e.g. the __main__ Python process)

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How do you make a deep copy of a Python object that's not immutable?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How do you make a deep copy of a Python object that's not immutable?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	<pre>import copy<br>copy.deepcopy(object)
</pre>

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
What does a semaphore do? How does it work?	Semaphores are synchronisation primitives which manage an internal counter. Calls to acquire() decrement the counter and calls to release() increment it.<br><br>When the counter reaches zero, any calls to acquire() block until another thread of execution calls release().
What could you use a semaphore for?	To guard access to a resource with limited capacity, e.g. a database server with a limited amount of connections allowed.
What is a lock? How does it work?	A lock is a concurrent programming synchronisation primitive. It has two states, locked and unlocked, and two methods: acquire() and release().<br><br>When the lock is<b> unlocked</b>, acquire() locks it; release() would raise an error (RuntimeError in Python). <br>When the lock is <b>locked</b>, acquire() is blocking until the lock is released by another thread of execution; release() would unlock the thread.
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What does `threading.local()` do? Why is it useful?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What does `threading.local()` do? Why is it useful?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	It creates an object whose data is local to the thread which created it – other threads cannot see or modify it. It's useful when you want to use state that can't be interfered with by other threads.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	When doing concurrent programming in Python, what is best practice regarding acquire() and release() calls to locks and other synchronisation primitives?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	When doing concurrent programming in Python, what is best practice regarding acquire() and release() calls to locks and other synchronisation primitives?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Don't do it manually, use them in a context manager instead. If you don't, you must be careful to release() regardless of the flow of execution, including when an exception is raised.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
What are two paradigms for communication between processes or threads in concurrent programming?	Message passing (= threads send messages to each other and act on them) and shared memory (= some/all threads have access to special objects designed to work with concurrent access).
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What do `mp.Array` and `mp.Value` do?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What do `mp.Array` and `mp.Value` do?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	They're ways for processes/threads to access shared state, in a way that's designed to work with concurrent access.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's the difference between map(func, iterable) and starmap(func, iterable) in the multiprocessing module?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's the difference between map(func, iterable) and starmap(func, iterable) in the multiprocessing module?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	The first applies func to the items of iterable directly. The second one unpacks the iterable as a list of iterables, and is applied to the items of each of those.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is the big caveat of how the multiprocessing module side-steps the GIL? Think about what kinds of objects can be passed using Queues or Pipes.
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is the big caveat of how the multiprocessing module side-steps the GIL? Think about what kinds of objects can be passed using Queues or Pipes.
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	The objects need to be picklable in order for them to be sent to and executed by other processes.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What three classes does the `queue` module expose?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What three classes does the `queue` module expose?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Queue, PriorityQueue and LifoQueue (stack). They're all thread-safe.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is a `Future` from `concurrent.futures`?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is a `Future` from `concurrent.futures`?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Futures are variables that ""monitor"" computation that happens in other threads/processes. You submit callables and args to an executor, and as soon as you do so, you get a future.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How can I actually compute a bunch of things using `Future`s?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How can I actually compute a bunch of things using `Future`s?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	You can string them together however much you want, and they'll stay on the thread that actually executed them:<br><pre>root = executor.submit(math.sqrt, 3)
rounded = executor.submit(math.floor, root)
...
</pre>

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	Why might you want to delete intermediate `Future` results when using `concurrent.futures`?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	Why might you want to delete intermediate `Future` results when using `concurrent.futures`?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	To free up memory – even if you don't use those, Python won't garbage-collect them, because you might want to ""pipe"" them to some other callable at any time.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
How can you find out the size a tensor occupies in memory?	<pre>tensor.numel() * tensor.element_size() ) // (1024**3)</pre>
How can you find out how much memory your GPU has, and how much is in use?	"<pre>t.cuda.get_device_properties(device_id).total_memory // (1024**3)
t.cuda.memory_allocated(device_id) // (1024**3)</pre>

I also wrote this little util:
<pre>def cuda_stats() -&gt; str:
    if not t.cuda.is_available():
        return ""No CUDA detected!""

    num_devices = t.cuda.device_count()
    to_gb = 1024**3
    stats: list[str] = [""\n#######\n""]
    for i in range(num_devices):
        current_stat = (
            f""Device: {t.cuda.get_device_name(i)}\n""
            f""Reserved/allocated/total (GB): {t.cuda.memory_reserved(i)/to_gb:.2f}""
            f""/{t.cuda.memory_allocated(i)/to_gb:.2f}""
            f""/{t.cuda.get_device_properties(i).total_memory/to_gb:.2f}\n""
            ""########""
        )
        stats += [current_stat]

    return ""\n"".join(stats)
</pre>"
Find-replace with grep and sed.	"<pre>grep -rl ""string1"" somedir/ | xargs sed -i """" 's/string1/string2/g'</pre><pre><br></pre><pre>For some files which are unicode-encoded, you'll have to add LC_ALL=c before xargs.</pre>"
What is a succinct way to describe synchronisation?	Synchronisation is control over threads' relative timings – what executes when – in order to have threads interact successfully when they must do so.
What are the two main reasons for concurrent programming?	Resource utilisation: making sure that you make the most of the hardware you have available.<br>Responsiveness: allowing the computer to respond quickly to an external (user) input, even while executing some other computation.
What is cooperative multitasking?	"It's a form of thread switching where threads are ""trusted"" to yield control to other threads at particular points in the execution of their code."
What is preemptive multitasking?	"Contrast with cooperative multitasking: here, every thread will be forced to yield from time to time, regardless of where in its execution it is (it gets ""pre-empted"" by the OS scheduler). This is useful because bugs in one thread cannot hold up other threads indefinitely."
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's an auditing game?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's an auditing game?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Auditing game = a challenge to detect a modification made to, or a particular property of, a network using transparency tools

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How is an auditing game an instance of red-teaming?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How is an auditing game an instance of red-teaming?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Auditing games are kind of like red-teaming for our transparency techniques. You use them in the ""worst-case"": to find out how well you know <b>everything </b>about what a model does, rather than in the ""best case"", where you try to find out how well you know&nbsp;<b>anything</b>&nbsp;about what a model does. In the latter case you find a particularly interpretable thing, in the former, you have to interpret well across the board.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What are the three elements of Evan's ""transparency trichotomy""?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What are the three elements of Evan's ""transparency trichotomy""?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Inspection transparency, training transparency, architectural transparency.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's inspection transparency?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's inspection transparency?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Using interpretability tools to understand a model by inspecting it once it's trained.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
